DATE,TIME,PLACE,AMOUNT,ACCOUNT,EXPENSE,CATEGORY,TAGS,NOTE
01-10-16,10:53 AM,HAIR CUT,65,CASH Spends,Yes,BILLS,,
01-10-16,05:58 PM,ELITE SUPERMARKET,713,HDFC credit 2721,Yes,GROCERIES,,
01-10-16,08:21 PM,AMAZON,"4,099",HDFC credit 2721,Yes,SHOPPING,#Online,Cancelled the order.
01-10-16,08:23 PM,AMAZON,344,HDFC credit 2721,Yes,SHOPPING,#Online,
01-10-16,09:16 PM,HOTEL RUKMINI A UNIT,330,CitiBank credit 4456,Yes,FOOD & DRINKS,,
02-10-16,11:44 AM,SUNNY SILKS3,"10,560",CitiBank credit 4456,Yes,SHOPPING,,
02-10-16,12:00 PM,TOLL,95,CASH Spends,Yes,TRAVEL,,
02-10-16,12:00 PM,DINNER,252,CASH Spends,Yes,FOOD & DRINKS,,
02-10-16,06:31 PM,RESIDENT ONAM CELEBRATION,500,CASH Spends,Yes,BILLS,,
05-10-16,12:28 AM,AMAZON,"3,639",CitiBank credit 4456,Yes,SHOPPING,#Online,
05-10-16,12:29 AM,FLIPKART,"2,032",CitiBank credit 4456,Yes,SHOPPING,#Online,
05-10-16,10:01 AM,AMAZON,"4,299",CitiBank credit 4456,Yes,SHOPPING,#Online,
05-10-16,10:32 AM,AMAZON,"-4,099",HDFC credit 2721,Yes,SHOPPING,#Online,
06-10-16,08:49 AM,MOBIKWIK,3,CitiBank credit 4456,Yes,MOBILE BILLS,#Online,
06-10-16,08:55 AM,MOBIKWIK,500,CitiBank credit 4456,Yes,MOBILE BILLS,#Online,
06-10-16,11:02 AM,IRCTC,513.92,CitiBank credit 4456,Yes,TRAVEL,#Online,
06-10-16,06:59 PM,LUNCH,135,CASH Spends,Yes,FOOD & DRINKS,,
06-10-16,07:02 PM,CLOTH,120,CASH Spends,Yes,SHOPPING,,
06-10-16,07:04 PM,TRAVEL,15,CASH Spends,Yes,TRAVEL,,
06-10-16,07:05 PM,BREAKFAST,45,CASH Spends,Yes,FOOD & DRINKS,,
07-10-16,06:53 PM,MILK,20,CASH Spends,Yes,FOOD & DRINKS,,
08-10-16,11:04 AM,IRCTC,"1,003",CitiBank credit 4456,Yes,TRAVEL,#Online,
08-10-16,01:32 PM,PRIYAS,"2,142.11",HDFC credit 2721,Yes,FUEL,,
08-10-16,03:17 PM,KRISHNA PURE VEG HOTEL,520,HDFC credit 2721,Yes,FOOD & DRINKS,,
10-10-16,12:00 PM,TREAT,"2,000",CASH Spends,Yes,ENTERTAINMENT,,
10-10-16,02:17 PM,ATM,"4,000",CitiBank debit 8448,No,,,
